epoch,step,phase,train_loss,loss_sent,loss_prosody,val_loss,mae_total,mae_accuracy,mae_fluency,mae_prosodic,mae_completeness,rmse_total,rmse_accuracy,rmse_fluency,rmse_prosodic,rmse_completeness,pearson_total,pearson_accuracy,pearson_fluency,pearson_prosodic,pearson_completeness,spearman_total,spearman_accuracy,spearman_fluency,spearman_prosodic,spearman_completeness
5,end,val,,,,0.010435,0.076666,0.080148,0.063539,0.064706,0.623161,0.110773,0.112808,0.090187,0.092795,0.625854,0.746667,0.721349,0.788914,0.787389,-0.060567,0.749450,0.706688,0.787151,0.788794,-0.083587
6,50,train,0.005939,0.003361,0.165025,,,,,,,,,,,,,,,,,,,,,
6,100,train,0.005946,0.007535,0.147031,,,,,,,,,,,,,,,,,,,,,
6,150,train,0.005126,0.009432,0.186452,,,,,,,,,,,,,,,,,,,,,
6,200,train,0.006973,0.005322,0.240726,,,,,,,,,,,,,,,,,,,,,
6,250,train,0.005097,0.006358,0.118397,,,,,,,,,,,,,,,,,,,,,
6,300,train,0.005222,0.003870,0.239456,,,,,,,,,,,,,,,,,,,,,
6,350,train,0.006567,0.007090,0.229298,,,,,,,,,,,,,,,,,,,,,
6,400,train,0.005858,0.005666,0.175935,,,,,,,,,,,,,,,,,,,,,
6,450,train,0.005755,0.012050,0.162760,,,,,,,,,,,,,,,,,,,,,
6,500,train,0.005363,0.002600,0.199540,,,,,,,,,,,,,,,,,,,,,
6,550,train,0.005742,0.005564,0.223164,,,,,,,,,,,,,,,,,,,,,
6,600,train,0.005803,0.003401,0.215064,,,,,,,,,,,,,,,,,,,,,
6,end,val,,,,0.009989,0.076131,0.080188,0.062189,0.063142,0.607879,0.107952,0.111474,0.088615,0.089582,0.610773,0.740244,0.719275,0.784143,0.781199,-0.034941,0.742000,0.704289,0.790704,0.785936,-0.064052
7,50,train,0.005086,0.002731,0.271102,,,,,,,,,,,,,,,,,,,,,
7,100,train,0.005728,0.007466,0.190745,,,,,,,,,,,,,,,,,,,,,
7,150,train,0.005100,0.008613,0.205750,,,,,,,,,,,,,,,,,,,,,
7,200,train,0.005270,0.004823,0.257070,,,,,,,,,,,,,,,,,,,,,
7,250,train,0.005818,0.009652,0.252165,,,,,,,,,,,,,,,,,,,,,
7,300,train,0.004935,0.004298,0.316415,,,,,,,,,,,,,,,,,,,,,
7,350,train,0.005766,0.006731,0.234384,,,,,,,,,,,,,,,,,,,,,
7,400,train,0.005391,0.003687,0.180565,,,,,,,,,,,,,,,,,,,,,
7,450,train,0.004742,0.006348,0.193464,,,,,,,,,,,,,,,,,,,,,
7,500,train,0.004519,0.002874,0.189949,,,,,,,,,,,,,,,,,,,,,
7,550,train,0.005552,0.002748,0.308944,,,,,,,,,,,,,,,,,,,,,
7,600,train,0.004283,0.005105,0.209782,,,,,,,,,,,,,,,,,,,,,
7,end,val,,,,0.010725,0.076607,0.081504,0.064637,0.064454,0.625938,0.111911,0.115080,0.092356,0.092746,0.629119,0.734253,0.712744,0.782341,0.779868,-0.026867,0.735743,0.697157,0.786373,0.781946,-0.059568
8,50,train,0.004195,0.004321,0.298299,,,,,,,,,,,,,,,,,,,,,
8,100,train,0.004518,0.001336,0.201454,,,,,,,,,,,,,,,,,,,,,
8,150,train,0.004630,0.004095,0.262571,,,,,,,,,,,,,,,,,,,,,
8,200,train,0.005691,0.002652,0.172456,,,,,,,,,,,,,,,,,,,,,
8,250,train,0.005002,0.006787,0.223155,,,,,,,,,,,,,,,,,,,,,
8,300,train,0.004343,0.004454,0.259953,,,,,,,,,,,,,,,,,,,,,
8,350,train,0.004398,0.003109,0.201320,,,,,,,,,,,,,,,,,,,,,
8,400,train,0.004410,0.003882,0.156344,,,,,,,,,,,,,,,,,,,,,
8,450,train,0.004340,0.004096,0.325877,,,,,,,,,,,,,,,,,,,,,
8,500,train,0.005122,0.003920,0.204672,,,,,,,,,,,,,,,,,,,,,
8,550,train,0.005824,0.004657,0.200339,,,,,,,,,,,,,,,,,,,,,
8,600,train,0.004514,0.003288,0.191944,,,,,,,,,,,,,,,,,,,,,
8,end,val,,,,0.010536,0.075702,0.081182,0.062210,0.062447,0.630762,0.111316,0.114826,0.090590,0.091434,0.634301,0.732490,0.712012,0.778017,0.776285,0.002420,0.739695,0.699476,0.789905,0.786799,-0.034200
9,50,train,0.004195,0.005825,0.163801,,,,,,,,,,,,,,,,,,,,,
9,100,train,0.004774,0.009309,0.236195,,,,,,,,,,,,,,,,,,,,,
9,150,train,0.004480,0.004470,0.308529,,,,,,,,,,,,,,,,,,,,,
9,200,train,0.004634,0.002579,0.254452,,,,,,,,,,,,,,,,,,,,,
9,250,train,0.004636,0.003345,0.149179,,,,,,,,,,,,,,,,,,,,,
9,300,train,0.004689,0.003280,0.175114,,,,,,,,,,,,,,,,,,,,,
9,350,train,0.004162,0.004054,0.135536,,,,,,,,,,,,,,,,,,,,,
9,400,train,0.004237,0.003981,0.203921,,,,,,,,,,,,,,,,,,,,,
9,450,train,0.004305,0.003685,0.243786,,,,,,,,,,,,,,,,,,,,,
9,500,train,0.003930,0.005135,0.224975,,,,,,,,,,,,,,,,,,,,,
9,550,train,0.004299,0.001049,0.303962,,,,,,,,,,,,,,,,,,,,,
9,600,train,0.004198,0.007650,0.358293,,,,,,,,,,,,,,,,,,,,,
9,end,val,,,,0.010226,0.073541,0.078303,0.061585,0.062829,0.631310,0.108053,0.112588,0.090317,0.091629,0.633934,0.731657,0.706810,0.783916,0.782619,-0.017278,0.741709,0.702720,0.792062,0.791114,-0.051343
10,50,train,0.003749,0.003365,0.313746,,,,,,,,,,,,,,,,,,,,,
10,100,train,0.003213,0.006785,0.238622,,,,,,,,,,,,,,,,,,,,,
10,150,train,0.003778,0.005466,0.247301,,,,,,,,,,,,,,,,,,,,,
10,200,train,0.004128,0.004653,0.306336,,,,,,,,,,,,,,,,,,,,,
10,250,train,0.003802,0.003373,0.259642,,,,,,,,,,,,,,,,,,,,,
10,300,train,0.003776,0.001644,0.223043,,,,,,,,,,,,,,,,,,,,,
10,350,train,0.003824,0.007347,0.242567,,,,,,,,,,,,,,,,,,,,,
10,400,train,0.004712,0.002623,0.235048,,,,,,,,,,,,,,,,,,,,,
10,450,train,0.003261,0.002599,0.187157,,,,,,,,,,,,,,,,,,,,,
10,500,train,0.003330,0.002263,0.251382,,,,,,,,,,,,,,,,,,,,,
10,550,train,0.004730,0.002804,0.276748,,,,,,,,,,,,,,,,,,,,,
10,600,train,0.004040,0.002697,0.316723,,,,,,,,,,,,,,,,,,,,,
10,end,val,,,,0.011158,0.079395,0.083502,0.068089,0.067812,0.645509,0.113210,0.116294,0.095185,0.096072,0.649401,0.739900,0.714041,0.792044,0.791259,-0.052790,0.744573,0.705045,0.796349,0.794994,-0.079211
11,50,train,0.003463,0.002579,0.227655,,,,,,,,,,,,,,,,,,,,,
11,100,train,0.003765,0.005571,0.291817,,,,,,,,,,,,,,,,,,,,,
11,150,train,0.003737,0.002693,0.244414,,,,,,,,,,,,,,,,,,,,,
11,200,train,0.004103,0.007042,0.252511,,,,,,,,,,,,,,,,,,,,,
11,250,train,0.004569,0.007173,0.258445,,,,,,,,,,,,,,,,,,,,,
11,300,train,0.003461,0.002242,0.287860,,,,,,,,,,,,,,,,,,,,,
11,350,train,0.003479,0.003825,0.231612,,,,,,,,,,,,,,,,,,,,,
11,400,train,0.003812,0.002114,0.269322,,,,,,,,,,,,,,,,,,,,,
11,450,train,0.003714,0.004478,0.229446,,,,,,,,,,,,,,,,,,,,,
11,500,train,0.003361,0.003595,0.250305,,,,,,,,,,,,,,,,,,,,,
11,550,train,0.003945,0.003354,0.226588,,,,,,,,,,,,,,,,,,,,,
11,600,train,0.003625,0.002574,0.345408,,,,,,,,,,,,,,,,,,,,,
11,end,val,,,,0.011717,0.081706,0.083956,0.064248,0.067127,0.636876,0.119466,0.121485,0.092655,0.096191,0.639252,0.724337,0.695078,0.788901,0.785746,-0.043794,0.736284,0.698301,0.790851,0.785846,-0.074145
12,50,train,0.003548,0.001170,0.172817,,,,,,,,,,,,,,,,,,,,,
12,100,train,0.003428,0.004922,0.258174,,,,,,,,,,,,,,,,,,,,,
12,150,train,0.003532,0.006841,0.273594,,,,,,,,,,,,,,,,,,,,,
12,200,train,0.003662,0.004571,0.280059,,,,,,,,,,,,,,,,,,,,,
12,250,train,0.003125,0.002670,0.176986,,,,,,,,,,,,,,,,,,,,,
12,300,train,0.003744,0.003199,0.191159,,,,,,,,,,,,,,,,,,,,,
12,350,train,0.003656,0.002267,0.312022,,,,,,,,,,,,,,,,,,,,,
12,400,train,0.003438,0.000935,0.214759,,,,,,,,,,,,,,,,,,,,,
12,450,train,0.003629,0.002580,0.203389,,,,,,,,,,,,,,,,,,,,,
12,500,train,0.003583,0.002432,0.267123,,,,,,,,,,,,,,,,,,,,,
12,550,train,0.003427,0.002703,0.140614,,,,,,,,,,,,,,,,,,,,,
12,600,train,0.003504,0.002846,0.230877,,,,,,,,,,,,,,,,,,,,,
12,end,val,,,,0.010022,0.073083,0.077822,0.061214,0.063039,0.631686,0.107812,0.112289,0.087977,0.090080,0.634285,0.734252,0.705555,0.788004,0.784376,-0.038511,0.745594,0.700436,0.795129,0.789202,-0.068311
13,50,train,0.002800,0.004760,0.260083,,,,,,,,,,,,,,,,,,,,,
13,100,train,0.002956,0.002324,0.305591,,,,,,,,,,,,,,,,,,,,,
13,150,train,0.003494,0.001648,0.240452,,,,,,,,,,,,,,,,,,,,,
13,200,train,0.003266,0.007245,0.238482,,,,,,,,,,,,,,,,,,,,,
13,250,train,0.003789,0.004980,0.202263,,,,,,,,,,,,,,,,,,,,,
13,300,train,0.003362,0.005253,0.212321,,,,,,,,,,,,,,,,,,,,,
13,350,train,0.003250,0.002498,0.299621,,,,,,,,,,,,,,,,,,,,,
13,400,train,0.002801,0.002625,0.251487,,,,,,,,,,,,,,,,,,,,,
